subject,relation,object,cat
Pan-Seared Mackerel with Lemon,Health Benefit,Nourish Yin,Health Benefit
香煎马鲛鱼配柠檬,食谱的功效,补肾,食谱的功效
Pan-Seared Mackerel with Lemon,Health Benefit,Tonify Kidneys,Health Benefit
香煎马鲛鱼配柠檬,食谱的功效,清肝,食谱的功效
Pan-Seared Mackerel with Lemon,Health Benefit,Clear Liver,Health Benefit
香煎马鲛鱼配柠檬,食谱的功效,明目,食谱的功效
Pan-Seared Mackerel with Lemon,Health Benefit,Improve Vision,Health Benefit
香煎马鲛鱼配柠檬,食谱的功效,改善视力疲劳,食谱的功效
Pan-Seared Mackerel with Lemon,Health Benefit,Relieve Visual Fatigue,Health Benefit
香煎马鲛鱼配柠檬,食谱的食材构成,马鲛鱼,B3
Pan-Seared Mackerel with Lemon,Ingredient,Mackerel,B3
香煎马鲛鱼配柠檬,食谱的食材构成,柠檬,A3
Pan-Seared Mackerel with Lemon,Ingredient,Lemon,A3
香煎马鲛鱼配柠檬,食谱的食材构成,橄榄油,D
Pan-Seared Mackerel with Lemon,Ingredient,Olive Oil,D
香煎马鲛鱼配柠檬,食谱的食材构成,盐,D
Pan-Seared Mackerel with Lemon,Ingredient,Salt,D
香煎马鲛鱼配柠檬,食谱的食材构成,黑胡椒粉,D
Pan-Seared Mackerel with Lemon,Ingredient,Black Pepper Powder,D
莳萝三文鱼冷盘,食谱的功效,益气,食谱的功效
Dill Salmon Cold Platter,Health Benefit,Tonify Qi,Health Benefit
莳萝三文鱼冷盘,食谱的功效,养阴,食谱的功效
Dill Salmon Cold Platter,Health Benefit,Nourish Yin,Health Benefit
莳萝三文鱼冷盘,食谱的功效,明目,食谱的功效
Dill Salmon Cold Platter,Health Benefit,Improve Vision,Health Benefit
莳萝三文鱼冷盘,食谱的功效,护肝,食谱的功效
Dill Salmon Cold Platter,Health Benefit,Protect Liver,Health Benefit
莳萝三文鱼冷盘,食谱的功效,清润,食谱的功效
Dill Salmon Cold Platter,Health Benefit,Moisturize,Health Benefit
莳萝三文鱼冷盘,食谱的功效,滋补,食谱的功效
Dill Salmon Cold Platter,Health Benefit,Nourish and Tonify,Health Benefit
莳萝三文鱼冷盘,食谱的食材构成,烟熏三文鱼,B3
Dill Salmon Cold Platter,Ingredient,Smoked Salmon,B3
莳萝三文鱼冷盘,食谱的食材构成,莳萝碎,A2
Dill Salmon Cold Platter,Ingredient,Chopped Dill,A2
莳萝三文鱼冷盘,食谱的食材构成,柠檬汁,D
Dill Salmon Cold Platter,Ingredient,Lemon Juice,D
莳萝三文鱼冷盘,食谱的食材构成,黑胡椒粉,D
Dill Salmon Cold Platter,Ingredient,Black Pepper Powder,D
莳萝三文鱼冷盘,食谱的食材构成,全麦面包,C
Dill Salmon Cold Platter,Ingredient,Whole Wheat Bread,C
番茄马苏里拉沙拉,食谱的功效,生津,食谱的功效
Tomato Mozzarella Salad,Health Benefit,Promote Saliva,Health Benefit
番茄马苏里拉沙拉,食谱的功效,润燥,食谱的功效
Tomato Mozzarella Salad,Health Benefit,Moisturize Dryness,Health Benefit
番茄马苏里拉沙拉,食谱的功效,养血,食谱的功效
Tomato Mozzarella Salad,Health Benefit,Nourish Blood,Health Benefit
番茄马苏里拉沙拉,食谱的功效,明目,食谱的功效
Tomato Mozzarella Salad,Health Benefit,Improve Vision,Health Benefit
番茄马苏里拉沙拉,食谱的功效,健脾,食谱的功效
Tomato Mozzarella Salad,Health Benefit,Strengthen Spleen,Health Benefit
番茄马苏里拉沙拉,食谱的功效,益气,食谱的功效
Tomato Mozzarella Salad,Health Benefit,Tonify Qi,Health Benefit
番茄马苏里拉沙拉,食谱的食材构成,番茄,A2
Tomato Mozzarella Salad,Ingredient,Tomato,A2
番茄马苏里拉沙拉,食谱的食材构成,马苏里拉奶酪,B2
Tomato Mozzarella Salad,Ingredient,Mozzarella Cheese,B2
番茄马苏里拉沙拉,食谱的食材构成,橄榄油,D
Tomato Mozzarella Salad,Ingredient,Olive Oil,D
番茄马苏里拉沙拉,食谱的食材构成,盐,D
Tomato Mozzarella Salad,Ingredient,Salt,D
番茄马苏里拉沙拉,食谱的食材构成,黑胡椒粉,D
Tomato Mozzarella Salad,Ingredient,Black Pepper Powder,D
鸡蛋牛油果烤盅,食谱的功效,滋阴,食谱的功效
Egg and Avocado Bake,Health Benefit,Nourish Yin,Health Benefit
鸡蛋牛油果烤盅,食谱的功效,润燥,食谱的功效
Egg and Avocado Bake,Health Benefit,Moisturize Dryness,Health Benefit
鸡蛋牛油果烤盅,食谱的功效,明目,食谱的功效
Egg and Avocado Bake,Health Benefit,Improve Vision,Health Benefit
鸡蛋牛油果烤盅,食谱的功效,护心,食谱的功效
Egg and Avocado Bake,Health Benefit,Protect Heart,Health Benefit
鸡蛋牛油果烤盅,食谱的功效,补虚,食谱的功效
Egg and Avocado Bake,Health Benefit,Tonify Deficiency,Health Benefit
鸡蛋牛油果烤盅,食谱的功效,助力,食谱的功效
Egg and Avocado Bake,Health Benefit,Boost Energy,Health Benefit
鸡蛋牛油果烤盅,食谱的食材构成,牛油果,A3
Egg and Avocado Bake,Ingredient,Avocado,A3
鸡蛋牛油果烤盅,食谱的食材构成,鸡蛋,B2
Egg and Avocado Bake,Ingredient,Egg,B2
鸡蛋牛油果烤盅,食谱的食材构成,盐,D
Egg and Avocado Bake,Ingredient,Salt,D
鸡蛋牛油果烤盅,食谱的食材构成,黑胡椒粉,D
Egg and Avocado Bake,Ingredient,Black Pepper Powder,D
柠檬香草鸡腿,食谱的功效,益气,食谱的功效
Lemon Herb Chicken Thigh,Health Benefit,Tonify Qi,Health Benefit
柠檬香草鸡腿,食谱的功效,补血,食谱的功效
Lemon Herb Chicken Thigh,Health Benefit,Nourish Blood,Health Benefit
柠檬香草鸡腿,食谱的功效,安神,食谱的功效
Lemon Herb Chicken Thigh,Health Benefit,Calm the Mind,Health Benefit
柠檬香草鸡腿,食谱的功效,定心,食谱的功效
Lemon Herb Chicken Thigh,Health Benefit,Stabilize the Heart,Health Benefit
柠檬香草鸡腿,食谱的功效,明目,食谱的功效
Lemon Herb Chicken Thigh,Health Benefit,Improve Vision,Health Benefit
柠檬香草鸡腿,食谱的功效,护肝,食谱的功效
Lemon Herb Chicken Thigh,Health Benefit,Protect the Liver,Health Benefit
柠檬香草鸡腿,食谱的食材构成,鸡腿肉,B1
Lemon Herb Chicken Thigh,Ingredient,Chicken Thigh,B1
柠檬香草鸡腿,食谱的食材构成,柠檬汁,D
Lemon Herb Chicken Thigh,Ingredient,Lemon Juice,D
柠檬香草鸡腿,食谱的食材构成,干香草碎,D
Lemon Herb Chicken Thigh,Ingredient,Dried Herbs,D
柠檬香草鸡腿,食谱的食材构成,盐,D
Lemon Herb Chicken Thigh,Ingredient,Salt,D
柠檬香草鸡腿,食谱的食材构成,黑胡椒粉,D
Lemon Herb Chicken Thigh,Ingredient,Black Pepper Powder,D
燕麦蓝莓粥,食谱的功效,补益脾胃,食谱的功效
Oatmeal Blueberry Porridge,Health Benefit,Nourish the Spleen and Stomach,Health Benefit
燕麦蓝莓粥,食谱的功效,明目,食谱的功效
Oatmeal Blueberry Porridge,Health Benefit,Improve Vision,Health Benefit
燕麦蓝莓粥,食谱的功效,养神,食谱的功效
Oatmeal Blueberry Porridge,Health Benefit,Nurture the Spirit,Health Benefit
燕麦蓝莓粥,食谱的功效,增强体力,食谱的功效
Oatmeal Blueberry Porridge,Health Benefit,Increase Physical Strength,Health Benefit
燕麦蓝莓粥,食谱的食材构成,燕麦片,A1
Oatmeal Blueberry Porridge,Ingredient,Oatmeal,A1
燕麦蓝莓粥,食谱的食材构成,牛奶,B2
Oatmeal Blueberry Porridge,Ingredient,Milk,B2
燕麦蓝莓粥,食谱的食材构成,蓝莓,A3
Oatmeal Blueberry Porridge,Ingredient,Blueberry,A3
燕麦蓝莓粥,食谱的食材构成,蜂蜜,D
Oatmeal Blueberry Porridge,Ingredient,Honey,D
茴香烤胡萝卜汤,食谱的功效,补益肝血,食谱的功效
Fennel Roasted Carrot Soup,Health Benefit,Nourish Liver Blood,Health Benefit
茴香烤胡萝卜汤,食谱的功效,明目,食谱的功效
Fennel Roasted Carrot Soup,Health Benefit,Improve Vision,Health Benefit
茴香烤胡萝卜汤,食谱的功效,护眼,食谱的功效
Fennel Roasted Carrot Soup,Health Benefit,Protect Eyes,Health Benefit
茴香烤胡萝卜汤,食谱的功效,温中,食谱的功效
Fennel Roasted Carrot Soup,Health Benefit,Warm the Middle,Health Benefit
茴香烤胡萝卜汤,食谱的功效,健脾,食谱的功效
Fennel Roasted Carrot Soup,Health Benefit,Strengthen the Spleen,Health Benefit
茴香烤胡萝卜汤,食谱的食材构成,胡萝卜,A2
Fennel Roasted Carrot Soup,Ingredient,Carrot,A2
茴香烤胡萝卜汤,食谱的食材构成,洋葱,A2
Fennel Roasted Carrot Soup,Ingredient,Onion,A2
茴香烤胡萝卜汤,食谱的食材构成,茴香籽,D
Fennel Roasted Carrot Soup,Ingredient,Fennel Seeds,D
茴香烤胡萝卜汤,食谱的食材构成,鸡汤或蔬菜汤,C
Fennel Roasted Carrot Soup,Ingredient,Chicken or Vegetable Broth,C
茴香烤胡萝卜汤,食谱的食材构成,橄榄油,D
Fennel Roasted Carrot Soup,Ingredient,Olive Oil,D
茴香烤胡萝卜汤,食谱的食材构成,盐,D
Fennel Roasted Carrot Soup,Ingredient,Salt,D
香煎虾仁芝麻菜沙拉,食谱的功效,补肾,食谱的功效
Pan-Seared Shrimp Arugula Salad,Health Benefit,Tonify the Kidneys,Health Benefit
香煎虾仁芝麻菜沙拉,食谱的功效,壮阳,食谱的功效
Pan-Seared Shrimp Arugula Salad,Health Benefit,Enhance Yang Energy,Health Benefit
香煎虾仁芝麻菜沙拉,食谱的功效,明目,食谱的功效
Pan-Seared Shrimp Arugula Salad,Health Benefit,Improve Vision,Health Benefit
香煎虾仁芝麻菜沙拉,食谱的功效,益气,食谱的功效
Pan-Seared Shrimp Arugula Salad,Health Benefit,Tonify Qi,Health Benefit
香煎虾仁芝麻菜沙拉,食谱的功效,健脾,食谱的功效
Pan-Seared Shrimp Arugula Salad,Health Benefit,Strengthen the Spleen,Health Benefit
香煎虾仁芝麻菜沙拉,食谱的功效,和胃,食谱的功效
Pan-Seared Shrimp Arugula Salad,Health Benefit,Harmonize the Stomach,Health Benefit
香煎虾仁芝麻菜沙拉,食谱的食材构成,虾仁,B3
Pan-Seared Shrimp Arugula Salad,Ingredient,Shrimp,B3
香煎虾仁芝麻菜沙拉,食谱的食材构成,芝麻菜,A2
Pan-Seared Shrimp Arugula Salad,Ingredient,Arugula,A2
香煎虾仁芝麻菜沙拉,食谱的食材构成,橄榄油,D
Pan-Seared Shrimp Arugula Salad,Ingredient,Olive Oil,D
香煎虾仁芝麻菜沙拉,食谱的食材构成,柠檬汁,D
Pan-Seared Shrimp Arugula Salad,Ingredient,Lemon Juice,D
香煎虾仁芝麻菜沙拉,食谱的食材构成,盐,D
Pan-Seared Shrimp Arugula Salad,Ingredient,Salt,D
香煎虾仁芝麻菜沙拉,食谱的食材构成,黑胡椒粉,D
Pan-Seared Shrimp Arugula Salad,Ingredient,Black Pepper Powder,D
香草烤鸡胸配蘑菇,食谱的功效,益气,食谱的功效
Herb Roasted Chicken Breast with Mushrooms,Health Benefit,Tonify Qi,Health Benefit
香草烤鸡胸配蘑菇,食谱的功效,健脾,食谱的功效
Herb Roasted Chicken Breast with Mushrooms,Health Benefit,Strengthen the Spleen,Health Benefit
香草烤鸡胸配蘑菇,食谱的功效,明目,食谱的功效
Herb Roasted Chicken Breast with Mushrooms,Health Benefit,Improve Vision,Health Benefit
香草烤鸡胸配蘑菇,食谱的功效,补虚,食谱的功效
Herb Roasted Chicken Breast with Mushrooms,Health Benefit,Nourish Deficiency,Health Benefit
香草烤鸡胸配蘑菇,食谱的功效,助于机能恢复,食谱的功效
Herb Roasted Chicken Breast with Mushrooms,Health Benefit,Help Functional Recovery,Health Benefit
香草烤鸡胸配蘑菇,食谱的食材构成,鸡胸肉,B1
Herb Roasted Chicken Breast with Mushrooms,Ingredient,Chicken Breast,B1
香草烤鸡胸配蘑菇,食谱的食材构成,蘑菇,A2
Herb Roasted Chicken Breast with Mushrooms,Ingredient,Mushroom,A2
香草烤鸡胸配蘑菇,食谱的食材构成,干香草碎,D
Herb Roasted Chicken Breast with Mushrooms,Ingredient,Dried Herbs,D
香草烤鸡胸配蘑菇,食谱的食材构成,橄榄油,D
Herb Roasted Chicken Breast with Mushrooms,Ingredient,Olive Oil,D
香草烤鸡胸配蘑菇,食谱的食材构成,盐,D
Herb Roasted Chicken Breast with Mushrooms,Ingredient,Salt,D
香草烤鸡胸配蘑菇,食谱的食材构成,黑胡椒粉,D
Herb Roasted Chicken Breast with Mushrooms,Ingredient,Black Pepper Powder,D
意式番茄烤茄子,食谱的功效,清热利湿,食谱的功效
Italian-Style Tomato Roasted Eggplant,Health Benefit,Clear Heat and Remove Dampness,Health Benefit
意式番茄烤茄子,食谱的功效,健脾养血,食谱的功效
Italian-Style Tomato Roasted Eggplant,Health Benefit,Strengthen the Spleen and Nourish Blood,Health Benefit
意式番茄烤茄子,食谱的功效,明目和中,食谱的功效
Italian-Style Tomato Roasted Eggplant,Health Benefit,Improve Vision and Harmonize the Middle,Health Benefit
意式番茄烤茄子,食谱的食材构成,茄子,A2
Italian-Style Tomato Roasted Eggplant,Ingredient,Eggplant,A2
意式番茄烤茄子,食谱的食材构成,番茄酱,C
Italian-Style Tomato Roasted Eggplant,Ingredient,Tomato Sauce,C
意式番茄烤茄子,食谱的食材构成,马苏里拉奶酪,B2
Italian-Style Tomato Roasted Eggplant,Ingredient,Mozzarella Cheese,B2
意式番茄烤茄子,食谱的食材构成,橄榄油,D
Italian-Style Tomato Roasted Eggplant,Ingredient,Olive Oil,D
意式番茄烤茄子,食谱的食材构成,盐,D
Italian-Style Tomato Roasted Eggplant,Ingredient,Salt,D
意式番茄烤茄子,食谱的食材构成,黑胡椒粉,D
Italian-Style Tomato Roasted Eggplant,Ingredient,Black Pepper Powder,D
水果酸奶碗,食谱的功效,清热,食谱的功效
Fruit Yogurt Bowl,Health Benefit,Clear Heat,Health Benefit
水果酸奶碗,食谱的功效,润燥,食谱的功效
Fruit Yogurt Bowl,Health Benefit,Moisten Dryness,Health Benefit
水果酸奶碗,食谱的功效,明目护胃,食谱的功效
Fruit Yogurt Bowl,Health Benefit,Improve Vision and Protect the Stomach,Health Benefit
水果酸奶碗,食谱的功效,补益气血,食谱的功效
Fruit Yogurt Bowl,Health Benefit,Tonify Qi and Nourish Blood,Health Benefit
水果酸奶碗,食谱的食材构成,原味酸奶,B2
Fruit Yogurt Bowl,Ingredient,Plain Yogurt,B2
水果酸奶碗,食谱的食材构成,蓝莓,A3
Fruit Yogurt Bowl,Ingredient,Blueberry,A3
水果酸奶碗,食谱的食材构成,草莓,A3
Fruit Yogurt Bowl,Ingredient,Strawberry,A3
水果酸奶碗,食谱的食材构成,奇亚籽,A3
Fruit Yogurt Bowl,Ingredient,Chia Seeds,A3
水果酸奶碗,食谱的食材构成,蜂蜜,D
Fruit Yogurt Bowl,Ingredient,Honey,D
香烤羊排配迷迭香,食谱的功效,温补肾阳,食谱的功效
Rosemary Roasted Lamb Chops,Health Benefit,Warm and Tonify Kidney Yang,Health Benefit
香烤羊排配迷迭香,食谱的功效,明目养肝,食谱的功效
Rosemary Roasted Lamb Chops,Health Benefit,Improve Vision and Nourish the Liver,Health Benefit
香烤羊排配迷迭香,食谱的功效,增强体力,食谱的功效
Rosemary Roasted Lamb Chops,Health Benefit,Enhance Physical Strength,Health Benefit
香烤羊排配迷迭香,食谱的食材构成,羊排,B1
Rosemary Roasted Lamb Chops,Ingredient,Lamb Chops,B1
香烤羊排配迷迭香,食谱的食材构成,迷迭香,D
Rosemary Roasted Lamb Chops,Ingredient,Rosemary,D
香烤羊排配迷迭香,食谱的食材构成,橄榄油,D
Rosemary Roasted Lamb Chops,Ingredient,Olive Oil,D
香烤羊排配迷迭香,食谱的食材构成,盐,D
Rosemary Roasted Lamb Chops,Ingredient,Salt,D
香烤羊排配迷迭香,食谱的食材构成,黑胡椒粉,D
Rosemary Roasted Lamb Chops,Ingredient,Black Pepper Powder,D
培根烤芦笋蛋挞,食谱的功效,健脾补虚,食谱的功效
Bacon Asparagus Egg Tart,Health Benefit,Strengthen the Spleen and Relieve Deficiency,Health Benefit
培根烤芦笋蛋挞,食谱的功效,明目安神,食谱的功效
Bacon Asparagus Egg Tart,Health Benefit,Improve Vision and Calm the Mind,Health Benefit
培根烤芦笋蛋挞,食谱的功效,增强活力,食谱的功效
Bacon Asparagus Egg Tart,Health Benefit,Enhance Vitality,Health Benefit
培根烤芦笋蛋挞,食谱的食材构成,蛋挞皮,C
Bacon Asparagus Egg Tart,Ingredient,Egg Tart Crust,C
培根烤芦笋蛋挞,食谱的食材构成,鸡蛋,B2
Bacon Asparagus Egg Tart,Ingredient,Egg,B2
培根烤芦笋蛋挞,食谱的食材构成,培根,B1
Bacon Asparagus Egg Tart,Ingredient,Bacon,B1
培根烤芦笋蛋挞,食谱的食材构成,芦笋段,A2
Bacon Asparagus Egg Tart,Ingredient,Asparagus,A2
培根烤芦笋蛋挞,食谱的食材构成,牛奶,B2
Bacon Asparagus Egg Tart,Ingredient,Milk,B2
培根烤芦笋蛋挞,食谱的食材构成,盐,D
Bacon Asparagus Egg Tart,Ingredient,Salt,D
培根烤芦笋蛋挞,食谱的食材构成,黑胡椒粉,D
Bacon Asparagus Egg Tart,Ingredient,Black Pepper Powder,D
香煎鸡肝配洋葱,食谱的功效,补血养肝,食谱的功效
Pan-Fried Chicken Liver with Onion,Health Benefit,Nourish Blood and Liver,Health Benefit
香煎鸡肝配洋葱,食谱的功效,明目安神,食谱的功效
Pan-Fried Chicken Liver with Onion,Health Benefit,Improve Vision and Calm the Mind,Health Benefit
香煎鸡肝配洋葱,食谱的功效,缓解视疲劳,食谱的功效
Pan-Fried Chicken Liver with Onion,Health Benefit,Relieve Eye Fatigue,Health Benefit
香煎鸡肝配洋葱,食谱的功效,补血养心,食谱的功效
Pan-Fried Chicken Liver with Onion,Health Benefit,Nourish Blood and Heart,Health Benefit
香煎鸡肝配洋葱,食谱的功效,健脾益气,食谱的功效
Pan-Fried Chicken Liver with Onion,Health Benefit,Strengthen the Spleen and Benefit Qi,Health Benefit
香煎鸡肝配洋葱,食谱的功效,安神定心,食谱的功效
Pan-Fried Chicken Liver with Onion,Health Benefit,Calm the Mind and Settle the Heart,Health Benefit
香煎鸡肝配洋葱,食谱的食材构成,鸡肝,B1
Pan-Fried Chicken Liver with Onion,Ingredient,Chicken Liver,B1
香煎鸡肝配洋葱,食谱的食材构成,洋葱,A2
Pan-Fried Chicken Liver with Onion,Ingredient,Onion,A2
香煎鸡肝配洋葱,食谱的食材构成,橄榄油,D
Pan-Fried Chicken Liver with Onion,Ingredient,Olive Oil,D
香煎鸡肝配洋葱,食谱的食材构成,盐,D
Pan-Fried Chicken Liver with Onion,Ingredient,Salt,D
香煎鸡肝配洋葱,食谱的食材构成,黑胡椒粉,D
Pan-Fried Chicken Liver with Onion,Ingredient,Black Pepper Powder,D
烤南瓜籽燕麦片,食谱的功效,健脾,食谱的功效
Roasted Pumpkin Seed Oatmeal,Health Benefit,Strengthen Spleen,Health Benefit
烤南瓜籽燕麦片,食谱的功效,补虚,食谱的功效
Roasted Pumpkin Seed Oatmeal,Health Benefit,Replenish Deficiency,Health Benefit
烤南瓜籽燕麦片,食谱的功效,明目,食谱的功效
Roasted Pumpkin Seed Oatmeal,Health Benefit,Improve Vision,Health Benefit
烤南瓜籽燕麦片,食谱的功效,护眼,食谱的功效
Roasted Pumpkin Seed Oatmeal,Health Benefit,Protect Eyes,Health Benefit
烤南瓜籽燕麦片,食谱的功效,缓解疲劳,食谱的功效
Roasted Pumpkin Seed Oatmeal,Health Benefit,Relieve Fatigue,Health Benefit
烤南瓜籽燕麦片,食谱的食材构成,燕麦片,A1
Roasted Pumpkin Seed Oatmeal,Ingredient,Oatmeal,A1
烤南瓜籽燕麦片,食谱的食材构成,南瓜籽,A3
Roasted Pumpkin Seed Oatmeal,Ingredient,Pumpkin Seeds,A3
烤南瓜籽燕麦片,食谱的食材构成,牛奶,B2
Roasted Pumpkin Seed Oatmeal,Ingredient,Milk,B2
烤南瓜籽燕麦片,食谱的食材构成,蜂蜜,D
Roasted Pumpkin Seed Oatmeal,Ingredient,Honey,D
青豆扁豆泥,食谱的功效,补益肝肾,食谱的功效
Green Pea Lentil Paste,Health Benefit,Nourish Liver and Kidney,Health Benefit
青豆扁豆泥,食谱的功效,明目,食谱的功效
Green Pea Lentil Paste,Health Benefit,Improve Vision,Health Benefit
青豆扁豆泥,食谱的功效,养血,食谱的功效
Green Pea Lentil Paste,Health Benefit,Nourish Blood,Health Benefit
青豆扁豆泥,食谱的功效,调理肠胃,食谱的功效
Green Pea Lentil Paste,Health Benefit,Regulate Digestive System,Health Benefit
青豆扁豆泥,食谱的食材构成,青豆,A2
Green Pea Lentil Paste,Ingredient,Green Peas,A2
青豆扁豆泥,食谱的食材构成,扁豆,A2
Green Pea Lentil Paste,Ingredient,Lentils,A2
青豆扁豆泥,食谱的食材构成,橄榄油,D
Green Pea Lentil Paste,Ingredient,Olive Oil,D
青豆扁豆泥,食谱的食材构成,盐,D
Green Pea Lentil Paste,Ingredient,Salt,D
青豆扁豆泥,食谱的食材构成,黑胡椒粉,D
Green Pea Lentil Paste,Ingredient,Black Pepper Powder,D
金枪鱼全麦汉堡,食谱的功效,明目,食谱的功效
Tuna Whole Wheat Burger,Health Benefit,Improve Vision,Health Benefit
金枪鱼全麦汉堡,食谱的功效,益气,食谱的功效
Tuna Whole Wheat Burger,Health Benefit,Boost Energy,Health Benefit
金枪鱼全麦汉堡,食谱的功效,滋阴,食谱的功效
Tuna Whole Wheat Burger,Health Benefit,Nourish Yin,Health Benefit
金枪鱼全麦汉堡,食谱的功效,补虚,食谱的功效
Tuna Whole Wheat Burger,Health Benefit,Replenish Deficiency,Health Benefit
金枪鱼全麦汉堡,食谱的功效,促营养吸收,食谱的功效
Tuna Whole Wheat Burger,Health Benefit,Promote Nutrient Absorption,Health Benefit
金枪鱼全麦汉堡,食谱的食材构成,金枪鱼罐头,B3
Tuna Whole Wheat Burger,Ingredient,Canned Tuna,B3
金枪鱼全麦汉堡,食谱的食材构成,全麦汉堡胚,C
Tuna Whole Wheat Burger,Ingredient,Whole Wheat Burger Bun,C
金枪鱼全麦汉堡,食谱的食材构成,生菜,A2
Tuna Whole Wheat Burger,Ingredient,Lettuce,A2
金枪鱼全麦汉堡,食谱的食材构成,番茄片,A2
Tuna Whole Wheat Burger,Ingredient,Tomato Slice,A2
金枪鱼全麦汉堡,食谱的食材构成,低脂沙拉酱,D
Tuna Whole Wheat Burger,Ingredient,Low-Fat Salad Dressing,D
红椒烤甜薯泥,食谱的功效,补中益气,食谱的功效
Roasted Sweet Potato Mash with Bell Pepper,Health Benefit,Tonify Middle and Boost Energy,Health Benefit
红椒烤甜薯泥,食谱的功效,明目,食谱的功效
Roasted Sweet Potato Mash with Bell Pepper,Health Benefit,Improve Vision,Health Benefit
红椒烤甜薯泥,食谱的功效,护肝,食谱的功效
Roasted Sweet Potato Mash with Bell Pepper,Health Benefit,Protect Liver,Health Benefit
红椒烤甜薯泥,食谱的功效,增强耐力,食谱的功效
Roasted Sweet Potato Mash with Bell Pepper,Health Benefit,Enhance Stamina,Health Benefit
红椒烤甜薯泥,食谱的食材构成,红椒,A2
Roasted Sweet Potato Mash with Bell Pepper,Ingredient,Bell Pepper,A2
红椒烤甜薯泥,食谱的食材构成,红薯,A1
Roasted Sweet Potato Mash with Bell Pepper,Ingredient,Sweet Potato,A1
红椒烤甜薯泥,食谱的食材构成,橄榄油,D
Roasted Sweet Potato Mash with Bell Pepper,Ingredient,Olive Oil,D
红椒烤甜薯泥,食谱的食材构成,盐,D
Roasted Sweet Potato Mash with Bell Pepper,Ingredient,Salt,D
红椒烤甜薯泥,食谱的食材构成,黑胡椒粉,D
Roasted Sweet Potato Mash with Bell Pepper,Ingredient,Black Pepper Powder,D
鸡肉牛奶炖汤,食谱的功效,健脾,食谱的功效
Chicken Milk Stew,Health Benefit,Strengthen Spleen,Health Benefit
鸡肉牛奶炖汤,食谱的功效,益气,食谱的功效
Chicken Milk Stew,Health Benefit,Boost Energy,Health Benefit
鸡肉牛奶炖汤,食谱的功效,滋阴,食谱的功效
Chicken Milk Stew,Health Benefit,Nourish Yin,Health Benefit
鸡肉牛奶炖汤,食谱的功效,补虚,食谱的功效
Chicken Milk Stew,Health Benefit,Replenish Deficiency,Health Benefit
鸡肉牛奶炖汤,食谱的功效,促进明目,食谱的功效
Chicken Milk Stew,Health Benefit,Promote Vision,Health Benefit
鸡肉牛奶炖汤,食谱的食材构成,鸡胸肉,B1
Chicken Milk Stew,Ingredient,Chicken Breast,B1
鸡肉牛奶炖汤,食谱的食材构成,牛奶,B2
Chicken Milk Stew,Ingredient,Milk,B2
鸡肉牛奶炖汤,食谱的食材构成,洋葱碎,A2
Chicken Milk Stew,Ingredient,Chopped Onion,A2
鸡肉牛奶炖汤,食谱的食材构成,胡萝卜丁,A2
Chicken Milk Stew,Ingredient,Carrot Cubes,A2
鸡肉牛奶炖汤,食谱的食材构成,盐,D
Chicken Milk Stew,Ingredient,Salt,D
鸡肉牛奶炖汤,食谱的食材构成,黑胡椒粉,D
Chicken Milk Stew,Ingredient,Black Pepper Powder,D
烤香料菜花,食谱的功效,清热,食谱的功效
Roasted Spiced Cauliflower,Health Benefit,Clear Heat,Health Benefit
烤香料菜花,食谱的功效,除湿,食谱的功效
Roasted Spiced Cauliflower,Health Benefit,Remove Dampness,Health Benefit
烤香料菜花,食谱的功效,明目,食谱的功效
Roasted Spiced Cauliflower,Health Benefit,Improve Vision,Health Benefit
烤香料菜花,食谱的功效,护脾,食谱的功效
Roasted Spiced Cauliflower,Health Benefit,Protect Spleen,Health Benefit
烤香料菜花,食谱的功效,调节代谢,食谱的功效
Roasted Spiced Cauliflower,Health Benefit,Regulate Metabolism,Health Benefit
烤香料菜花,食谱的食材构成,菜花,A2
Roasted Spiced Cauliflower,Ingredient,Cauliflower,A2
烤香料菜花,食谱的食材构成,辣椒粉,D
Roasted Spiced Cauliflower,Ingredient,Chili Powder,D
烤香料菜花,食谱的食材构成,孜然粉,D
Roasted Spiced Cauliflower,Ingredient,Cumin Powder,D
烤香料菜花,食谱的食材构成,盐,D
Roasted Spiced Cauliflower,Ingredient,Salt,D
烤香料菜花,食谱的食材构成,橄榄油,D
Roasted Spiced Cauliflower,Ingredient,Olive Oil,D
意式烩扁豆,食谱的功效,补益脾肾,食谱的功效
Italian Braised Lentils,Health Benefit,Tonify Spleen and Kidneys,Health Benefit
意式烩扁豆,食谱的功效,明目,食谱的功效
Italian Braised Lentils,Health Benefit,Improve Vision,Health Benefit
意式烩扁豆,食谱的功效,养血,食谱的功效
Italian Braised Lentils,Health Benefit,Nourish Blood,Health Benefit
意式烩扁豆,食谱的功效,增强体质,食谱的功效
Italian Braised Lentils,Health Benefit,Enhance Physical Fitness,Health Benefit
意式烩扁豆,食谱的食材构成,扁豆,A1
Italian Braised Lentils,Ingredient,Lentils,A1
意式烩扁豆,食谱的食材构成,番茄碎,A2
Italian Braised Lentils,Ingredient,Diced Tomato,A2
意式烩扁豆,食谱的食材构成,洋葱碎,A2
Italian Braised Lentils,Ingredient,Diced Onion,A2
意式烩扁豆,食谱的食材构成,橄榄油,D
Italian Braised Lentils,Ingredient,Olive Oil,D
意式烩扁豆,食谱的食材构成,盐,D
Italian Braised Lentils,Ingredient,Salt,D
